land,area,female,male,population,density
Baden-Württemberg,35751.65,5465,5271,10736,300.29383259234186
Bayern,70551.57,6366,6103,12469,176.7359677467135
Berlin,891.85,1736,1660,3396,3807.815215563155
Brandenburg,29478.61,1293,1267,2560,86.84262928272398
Bremen,404.28,342,321,663,1639.9525081626596
Hamburg,755.16,894,849,1743,2308.1201334816465
Hessen,21114.79,3109,2983,6092,288.51814296992774
Mecklenburg-Vorpommern,23180.14,861,846,1707,73.64062512133232
Niedersachsen,47624.2,4076,3918,7994,167.85583799832858
Nordrhein-Westfalen,34085.29,9261,8797,18058,529.7886566316438
Rheinland-Pfalz,19853.36,2069,1990,4059,204.44902021622536
Saarland,2568.7,540,510,1050,408.7670806244404
Sachsen,18415.51,2191,2083,4274,232.0869745122454
Sachsen-Anhalt,20446.31,1264,1206,2470,120.80419400860106
Schleswig-Holstein,15799.38,1448,1385,2833,179.31083371625974
Thüringen,16172.1,1185,1150,2335,144.3844646026181
